ID da Usina;Número do Corte;Coeficiente de Volume;Coeficiente de Turbinamento;Coeficiente de Vertimento;Termo Independente
9.0;3.0;0.14282620225364173;0.3997300164815434;-0.015914126059812166;-51.41743281131107
9.0;4.0;0.07254312463234784;0.40756827792629735;-0.016110082595931014;-26.115524867645274
9.0;5.0;0.17483143328859455;0.3970529990157946;-0.01591412605981217;-62.93931598389404
9.0;6.0;0.24868976648990246;0.38881601018293493;-0.015914126059812166;-87.31256594032567
9.0;7.0;0.2966134467218133;0.3807990376534331;-0.015914126059812166;-100.25195960294154
9.0;8.0;0.3200411384763009;0.37296077647163417;-0.015914126059812156;-102.36045186084543
9.0;9.0;0.3200411398344634;0.37296077620867907;-0.015914126064598376;-102.36045213757917
9.0;10.0;0.3200411392640535;0.37296077627396396;-0.015914126061459418;-102.36045198491644
9.0;11.0;0.3200411394741602;0.372960776238816;-0.01591412606233811;-102.36045203219054
10.0;1.0;-0.0;0.15633756021586137;0.011062069520109661;0.0
10.0;2.0;-0.0;0.15216853731728144;0.011374746237503158;1.4331016213868508
10.0;3.0;-0.0;0.14582638541567353;0.011620893158378286;6.769040324064697
10.0;4.0;-0.0;0.14866481238388413;0.011549932484173023;3.8419125130974887
11.0;1.0;0.05345414877935202;0.23648430088839487;-0.006798703866472204;-103.38550303939942
11.0;2.0;0.06867344416589581;0.23134730949847832;-0.006798703866472199;-129.3800595596162
11.0;3.0;-0.0;0.25489290113664453;-0.007596389658207337;0.0
11.0;4.0;0.008357816972388802;0.2492508483693896;-0.007173235700663215;-16.515046337440264
11.0;5.0;0.040467513651011075;0.23940656639166552;-0.006798703866472196;-78.8840514305962
11.0;6.0;0.032409636458461004;0.2421263536556497;-0.006866698548071806;-64.0414416419189
11.0;7.0;0.02357711235893245;0.24411385697947305;-0.006916386131167392;-46.588374021250466
11.0;8.0;0.08092244934165405;0.22664001891067082;-0.006887742847816265;-147.9777106968357
11.0;9.0;0.0730878637646345;0.22836729828320884;-0.006798703866472196;-134.5537593293379
11.0;10.0;0.07548805297713151;0.22755715885128297;-0.00681895735227035;-138.3316571498083
12.0;1.0;-0.0;0.18793948742662586;-0.003370931484374991;-1.4394518672636494e-14
12.0;2.0;0.0032026614556197896;0.18633815669881595;-0.0032508316797892453;-4.134635939205152
12.0;3.0;0.019215968733731086;0.18313549524319359;-0.003130731875203402;-24.807815635246822
12.0;4.0;0.009607984366865543;0.1847368259710045;-0.0031707651433986734;-12.403907817623425
12.0;5.0;0.10387459132874416;0.17255316741881693;-0.003130731875203402;-134.1020974054087
12.0;6.0;0.11348257569560359;0.17095183669100708;-0.003130731875203405;-145.75818377313706
12.0;7.0;0.1280515483719849;0.16774917523538474;-0.003192744229072321;-160.8276202489064
12.0;8.0;0.11990921498179265;0.16935050596319562;-0.0031309983298901927;-152.5593321918312
12.0;9.0;0.11982394948201891;0.16936649324440325;-0.0031307318752033983;-152.4641865522713
12.0;10.0;0.12295459127792478;0.16838629487214224;-0.0031449602563155096;-155.140053251572
12.0;11.0;0.1215321511179559;0.16874190491213445;-0.003136070005315705;-153.80189267108128
14.0;1.0;0.04425624195175835;0.6467412337232307;-1.2540767962939825;-2.2570683395396713
14.0;2.0;-0.0;0.8861266595884192;-1.2540313109840648;0.0
14.0;3.0;0.001399920914046416;0.855779986871026;-1.2517553105302601;-0.07139596661636903
14.0;4.0;0.005159465109550962;0.8214985750502107;-1.2503645997509039;-0.2631327205871089
14.0;5.0;0.0033694375805843908;0.8344329675175822;-1.2506879595625882;-0.1718413166098097
14.0;6.0;0.05446600831146859;0.632908647042333;-1.258226572298252;-2.7777664238848985
14.0;7.0;0.0712650592800257;0.6025619743249393;-1.2650545736596657;-2.9289578826019116
14.0;8.0;0.08152982931813305;0.5682805625041243;-1.269226705997735;-1.5576508800111044
14.0;9.0;0.07914312594617762;0.5812149549714957;-1.268256626562682;-2.3381028826405315
14.0;10.0;0.02704933395400284;0.7028696084093102;-1.2503645997509039;-1.379516031654142
14.0;11.0;0.0340636040363124;0.6743599945263746;-1.2513149202136684;-1.737243805851955
15.0;1.0;-0.0;0.7691646825134849;0.6062051371762365;4.482075063045239e-15
15.0;2.0;-0.0;0.742360550780992;0.6082154470561734;0.964948742369749
15.0;3.0;-0.0;0.7152441668999346;0.6093164803844753;3.284220028487487
15.0;4.0;-0.0;0.7254356015299793;0.609061694518724;2.1835450884426586
16.0;1.0;-0.0;0.22606343571227525;0.07767377291214346;0.0
16.0;2.0;-0.0;0.2167957070987543;0.07836885255815755;0.3985123303814003
16.0;3.0;-0.0;0.20459212775575872;0.07884741225339814;1.6744053015628129
16.0;4.0;-0.0;0.2098568986321261;0.07871579298148895;0.9952498585114254
17.0;1.0;0.09234116866039922;0.38923787654280895;-0.022839008279689887;-82.18364010775537
17.0;2.0;0.05914826189107709;0.4273171372937149;-0.02013220713065234;-52.641953083058716
17.0;3.0;0.07036885049116118;0.4108002634029194;-0.020682769593678842;-62.62827693713359
17.0;4.0;-0.0;0.567467874784038;-0.022538330971212057;0.0
17.0;5.0;0.0020832525599243862;0.5511127875225421;-0.02131169942659986;-1.854094778332752
17.0;6.0;0.012020030674391464;0.5198150836369112;-0.02013220713065234;-10.697827300208234
17.0;7.0;0.006129234281605447;0.5352307995702715;-0.020517600028986335;-5.455018510628708
17.0;8.0;0.14445078094822908;0.34007761478691517;-0.030509620983999175;-65.33583369662503
17.0;9.0;0.13659638575784785;0.35549333072027545;-0.02935344228899716;-89.33101100323985
17.0;10.0;0.09541342815203087;0.38773040593404196;-0.023291249462319995;-84.91795105530753
17.0;11.0;0.12041245887112347;0.37137531867254603;-0.02697114409615658;-96.20917993009763
18.0;1.0;0.04146989132623692;0.4375920312560865;-0.4582984150828297;-242.84768360644335
18.0;2.0;-0.0;0.5213230202090583;-0.45942479767436356;0.0
18.0;3.0;0.0005072030727193156;0.5177777427474137;-0.45915890186474023;-2.9701811938443443
18.0;4.0;0.009461094132240448;0.4935262681376848;-0.4582984150828297;-55.40416723840001
18.0;5.0;0.0034165602153073613;0.5076097460807216;-0.4586505020314056;-20.00737662084013
18.0;6.0;0.0522653758775044;0.42027737844458884;-0.45904606474447945;-288.53568077615716
18.0;7.0;0.04594692969431634;0.43099828806832585;-0.45849400172350424;-266.91728643397255
18.0;8.0;0.04649689931351819;0.43035758647678796;-0.45854205434286954;-269.6641096970763
18.0;9.0;0.04428476381624022;0.4339028639384326;-0.45842138732675153;-259.3315769079027
18.0;10.0;0.06042522987579477;0.40610611186705936;-0.46011549388538125;-304.9457505831038
18.0;11.0;0.05236585131988404;0.4201895898100959;-0.45905923303965346;-288.99422557631715
20.0;1.0;0.016049280210934512;0.25610427712183403;-0.007744467189447137;-6.901992758798325
20.0;2.0;0.010473097094822087;0.28465529061928696;-0.005705707475037126;-4.503955277782806
20.0;3.0;0.012333415720243414;0.2724101660892578;-0.0061138782927047585;-5.303985279936288
20.0;4.0;-0.0;0.3883458383435968;-0.0068831914137611845;-1.8737007216104764e-15
20.0;5.0;0.00023885707218441917;0.37996065226831305;-0.0062543024581149026;-0.10272048097717426
20.0;6.0;0.0012520768891782599;0.36558231689609033;-0.005705707475037122;-0.5384556509069662
20.0;7.0;0.0006698706603867189;0.3723951883174244;-0.005876029260570471;-0.28807786932217505
20.0;8.0;0.021620690566895723;0.23289141427081986;-0.011411721426671574;-7.605720677088097
20.0;9.0;0.020844415595173645;0.2397042856921542;-0.010900756070071498;-8.058770284139152
20.0;10.0;0.01625407637615145;0.25565493571832654;-0.007879269610499378;-6.990065347149914
