& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
 73  GERAMAR I      4    0        0.000  15808  1  0  0          0.
 83  VALE DO ACU    1    0        0.000  12479  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  29717  0  0  0          0.
 86  ST.CRUZ NOVA   1    0        0.000   4488  1  0  0          0.
 86  ST.CRUZ NOVA   2    0        0.000   4582  0  0  0          0.
 86  ST.CRUZ NOVA   3    0        0.000   4577  1  0  0          0.
 86  ST.CRUZ NOVA   4    0        0.000   4534  1  0  0          0.
 90  TERMOMACAE     1    0        0.000  18600  0  0  0          0.
 90  TERMOMACAE     2    0        0.000  18619  1  0  0          0.
 90  TERMOMACAE     3    0        0.000  26287  1  0  0          0.
 90  TERMOMACAE     4    0        0.000  18880  1  0  0          0.
 90  TERMOMACAE     5    0        0.000  18706  1  0  0          0.
 90  TERMOMACAE     6    0        0.000  24935  0  0  0          0.
 90  TERMOMACAE     7    0        0.000   3126  0  0  0          0.
 90  TERMOMACAE     8    0        0.000   3126  0  0  0          0.
 90  TERMOMACAE     9    0        0.000  20928  1  0  0          0.
 90  TERMOMACAE    10    0        0.000   3126  0  0  0          0.
 90  TERMOMACAE    11    0        0.000  26159  0  0  0          0.
 90  TERMOMACAE    12    0        0.000  26165  1  0  0          0.
 90  TERMOMACAE    13    0        0.000  18640  0  0  0          0.
 90  TERMOMACAE    14    0        0.000  25864  0  0  0          0.
 90  TERMOMACAE    15    0        0.000  18672  1  0  0          0.
 90  TERMOMACAE    16    0        0.000  18646  1  0  0          0.
 90  TERMOMACAE    17    0        0.000  19964  0  0  0          0.
 90  TERMOMACAE    18    0        0.000  18612  1  0  0          0.
 90  TERMOMACAE    19    0        0.000  18601  0  0  0          0.
 90  TERMOMACAE    20    0        0.000    816  1  0  0          0.
 96  TERMOPE        1    0        0.000  16428  1  0  0          0.
 96  TERMOPE        2    0        0.000  17928  0  0  0          0.
 96  TERMOPE        3    0        0.000  17230  1  0  0          0.
 97  CUBATAO        1    0        0.000  15576  0  0  0          0.
 97  CUBATAO        2    0        0.000  18700  0  0  0          0.
 97  CUBATAO        3    0        0.000  14340  0  0  0          0.
 98  PERNAMBU_III   1    0        0.000    776  0  0  0          0.
 98  PERNAMBU_III   2    0        0.000    776  0  0  0          0.
 98  PERNAMBU_III   3    0        0.000    776  0  0  0          0.
 98  PERNAMBU_III   4    0        0.000    776  0  0  0          0.
106  ERB CANDEIAS   1    1        3.500   1368  0  0  2          3.
107  PAMPA SUL      1    1      300.000   1044  1  0  2        300.
108  XAVANTES       1    0        0.000  19408  0  0  0          0.
108  XAVANTES       2    0        0.000  19408  0  0  0          0.
110  N.PIRATININ    1    0        0.000  18328  0  0  0          0.
110  N.PIRATININ    2    0        0.000  20016  1  0  0          0.
110  N.PIRATININ    3    0        0.000  20424  0  0  0          0.
110  N.PIRATININ    4    0        0.000  20461  0  0  0          0.
110  N.PIRATININ    5    0        0.000  18930  0  0  0          0.
