NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
178 XINGO          1    09      F                   0
190 B. ESPERANCA   1    09      F                 565
190 B. ESPERANCA   1    10      F                 539
189 P. CAVALO      1    09      F                   2
275 TUCURUI        1    09      F                1193
275 TUCURUI        1    10      F                1177
272 CURUA-UNA      1    09      F                 124
272 CURUA-UNA      1    10      F                 126
279 SAMUEL         1    09      F                 107
279 SAMUEL         1    10      F                 139
280 COARACY NUNE   1    09      F                   0
204 CACH.CALDEIR   1    09      F                 101
204 CACH.CALDEIR   1    10      F                  97
127 SOBRAGI        1    09      F                  18
127 SOBRAGI        1    10      F                  17
126 PICADA         1    09      F                  20
126 PICADA         1    10      F                  19
283 STA CLARA MG   1    09      F                  11
283 STA CLARA MG   1    10      F                  10
261 LAJEADO        1    09      F                 197
261 LAJEADO        1    10      F                 177
 48 PIRAJU         1    09      F                   6
249 OURINHOS       1    09      F                   2
241 SLT VERDINHO   1    09      F                   7
304 ITIQUIRA I     1    09      F                  40
305 ITIQUIRA II    1    09      F                   0
196 GUAPORE        1    09      F                  28
195 JAURU          1    09      F                  54
195 JAURU          1    10      F                  59
 95 QUEBRA QUEIX   1    09      F                 278
 95 QUEBRA QUEIX   1    10      F                 249
203 CORUMBA III    1    09      F                   6
154 ITAPEBI        1    09      F                  23
154 ITAPEBI        1    10      F                  21
310 DARDANELOS     1    09      F                  61
310 DARDANELOS     1    10      F                  63
 29 CORUMBA IV     1    09      F                  34
 29 CORUMBA IV     1    10      F                  30
 94 MONJOLINHO     1    09      F                 124
 94 MONJOLINHO     1    10      F                 126
215 SALTO PILAO    1    09      F                 288
215 SALTO PILAO    1    10      F                 306
155 RETIRO BAIXO   1    09      F                  75
155 RETIRO BAIXO   1    10      F                  67
311 CACU           1    09      F                  73
311 CACU           1    10      F                  69
312 B. COQUEIROS   1    09      F                   3
315 FOZ R. CLARO   1    09      F                   6
315 FOZ R. CLARO   1    10      F                   5
 21 SERRA FACAO    1    09      F                  11
 21 SERRA FACAO    1    10      F                  10
290 ESPORA         1    09      F                  48
101 SAO JOSE       1    09      F                 640
101 SAO JOSE       1    10      F                 567
276 RONDON II      1    09      F                  41
276 RONDON II      1    10      F                  40
102 PASSO S JOAO   1    09      F                  25
102 PASSO S JOAO   1    10      F                  22
277 BALBINA        1    09      F                 762
277 BALBINA        1    10      F                 812
285 JIRAU          1    09      F                4326
285 JIRAU          1    10      F                4375
286 STO ANT JARI   1    09      F                 162
286 STO ANT JARI   1    10      F                 159
284 FERREIRA GOM   1    09      F                   1
227 SINOP          1    09      F                 529
227 SINOP          1    10      F                 550
228 COLIDER        1    09      F                  49
228 COLIDER        1    10      F                  51
229 TELES PIRES    1    09      F                 180
229 TELES PIRES    1    10      F                 198
192 GUILMAN-AMOR   1    09      F                  32
192 GUILMAN-AMOR   1    10      F                  30
230 SAO MANOEL     1    09      F                   2
288 BELO MONTE     1    09      F                   0
314 PIMENTAL       1    09      F                 914
314 PIMENTAL       1    10      F                 940
FIM
