&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT    66    1  S    08 11 0  F               16130
DEFANT    66    1  S    08 11 1  F               16130
DEFANT    66    1  S    08 12 0  F               16120
DEFANT    66    1  S    08 12 1  F               15788
DEFANT    66    1  S    08 13 0  F               15754
DEFANT    66    1  S    08 13 1  F               15752
DEFANT    66    1  S    08 14 0  F               15725
DEFANT    66    1  S    08 14 1  F               15724
DEFANT    66    1  S    08 15 0  F               16364
DEFANT    66    1  S    08 15 1  F               16694
DEFANT    66    1  S    08 16 0  F               17107
DEFANT    66    1  S    08 16 1  F               17390
DEFANT    66    1  S    08 17 0  F               17399
DEFANT    66    1  S    08 17 1  F               17061
DEFANT    66    1  S    08 18 0  F               17050
DEFANT    66    1  S    08 18 1  F               17053
DEFANT    66    1  S    08 19 0  F               17059
DEFANT    66    1  S    08 19 1  F               17062
DEFANT    66    1  S    08 20 0  F               16693
DEFANT    66    1  S    08 20 1  F               16692
DEFANT    66    1  S    08 21 0  F               16697
DEFANT    66    1  S    08 21 1  F               16698
DEFANT    66    1  S    08 22 0  F               16698
DEFANT    66    1  S    08 22 1  F               16701
DEFANT    66    1  S    08 23 0  F               15596
DEFANT    66    1  S    08 23 1  F               15349
DEFANT    83    1  S    08  0 0  F                8235
DEFANT    83    1  S    08  0 1  F                8229
DEFANT    83    1  S    08  1 0  F                8223
DEFANT    83    1  S    08  1 1  F                8218
DEFANT    83    1  S    08  2 0  F                8214
DEFANT    83    1  S    08  2 1  F                8214
DEFANT    83    1  S    08  3 0  F                8214
DEFANT    83    1  S    08  3 1  F                8213
DEFANT    83    1  S    08  4 0  F                8213
DEFANT    83    1  S    08  4 1  F                8213
DEFANT    83    1  S    08  5 0  F                8212
DEFANT    83    1  S    08  5 1  F                8212
DEFANT    83    1  S    08  6 0  F                8212
DEFANT    83    1  S    08  6 1  F                8211
DEFANT    83    1  S    08  7 0  F                8211
DEFANT    83    1  S    08  7 1  F                8210
DEFANT    83    1  S    08  8 0  F                8210
DEFANT    83    1  S    08  8 1  F                8210
DEFANT    83    1  S    08  9 0  F                8209
DEFANT    83    1  S    08  9 1  F                8209
DEFANT    83    1  S    08 10 0  F                8209
DEFANT    83    1  S    08 10 1  F                8208
DEFANT    83    1  S    08 11 0  F                8208
DEFANT    83    1  S    08 11 1  F                8207
DEFANT    83    1  S    08 12 0  F                8208
