 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2027      951.   1008.   1449.   3163.   4414.   4796.   5045.   4841.   4565.   4056.   3174.   1548.
   1    3  EOL
2023                                                                                        7.      8.
2024       10.      6.      5.      3.      3.      4.      5.      8.      9.      9.      7.      8.
2025       10.      6.      5.      3.      3.      4.      5.      8.      9.      9.      7.      8.
2026       10.      6.      5.      3.      3.      4.      5.      8.      9.      9.      7.      8.
2027       10.      6.      5.      3.      3.      4.      5.      8.      9.      9.      7.      8.
   1    4  UFV
2023                                                                                      980.    944.
2024     1072.   1000.   1108.   1066.   1028.    987.   1200.   1283.   1466.   1491.   1459.   1420.
2025     1633.   1683.   1773.   1668.   1549.   1460.   1571.   1559.   1728.   1722.   1653.   1606.
2026     1803.   1669.   1799.   1668.   1540.   1468.   1571.   1559.   1720.   1708.   1653.   1606.
2027     1790.   1669.   1799.   1698.   1560.   1496.   1581.   1590.   1742.   1723.   1674.   1635.
   1    5  PCH MMGD
2023                                                                                     26.99   33.58
2024     33.24   33.84   35.62   35.62   32.06   29.09   24.93   21.37   20.18   20.18   26.71   33.24
2025     33.24   33.84   35.62   35.62   32.06   29.09   24.93   21.37   20.18   20.18   26.71   33.24
2026     33.24   33.84   35.62   35.62   32.06   29.09   24.93   21.37   20.18   20.18   26.71   33.24
2027     33.24   33.84   35.62   35.62   32.06   29.09   24.93   21.37   20.18   20.18   26.71   33.24
   1    6  PCT MMGD
2023                                                                                      75.2    75.2
2024      72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3
2025      72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3
2026      72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3
2027      72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3    72.3
   1    7  EOL MMGD
2023                                                                                      0.04    0.04
2024      0.04    0.04    0.04    0.03    0.04    0.04    0.04    0.05    0.05    0.04    0.04    0.04
2025      0.04    0.04    0.04    0.03    0.04    0.04    0.04    0.05    0.05    0.04    0.04    0.04
2026      0.04    0.04    0.04    0.03    0.04    0.04    0.04    0.05    0.05    0.04    0.04    0.04
2027      0.04    0.04    0.04    0.03    0.04    0.04    0.04    0.05    0.05    0.04    0.04    0.04
   1    8  UFV MMGD
2023                                                                                    1833.1  1899.1
2024    1800.3  1938.7  1844.6  1856.5  1727.8  1698.5  1751.0  1990.1  1875.6  1840.7  1754.9  1817.8
2025    1800.3  1938.8  1844.6  1856.6  1727.8  1698.5  1751.0  1990.2  1875.7  1840.7  1754.9  1817.8
2026    1800.3  1938.7  1844.7  1856.6  1727.8  1698.3  1751.0  1990.2  1875.6  1840.8  1754.9  1817.8
2027    1800.3  1938.7  1844.7  1856.4  1727.8  1698.3  1751.0  1990.1  1875.6  1840.7  1754.9  1817.8
   2    1  PCH
2023                                                                                      959.    821.
2024      916.    829.    839.    865.    940.   1232.   1038.    946.    986.   1224.    985.    845.
2025      949.    860.    873.    894.    973.   1309.   1102.   1001.   1042.   1291.   1035.    889.
2026      991.    897.    921.    941.   1035.   1362.   1147.   1041.   1083.   1341.   1077.    926.
2027     1057.    951.    964.    985.   1066.   1398.   1177.   1069.   1111.   1375.   1106.    951.
   2    2  PCT
2023                                                                                      539.    413.
2024      375.    395.    445.    553.    580.    565.    571.    598.    574.    526.    542.    416.
2025      375.    395.    445.    553.    580.    565.    571.    598.    574.    526.    542.    416.
2026      375.    395.    444.    553.    580.    565.    571.    598.    574.    526.    542.    416.
2027      375.    395.    444.    553.    580.    565.    571.    598.    574.    526.    542.    416.
   2    3  EOL
2023                                                                                      797.    722.
2024      657.    596.    592.    623.    647.    689.    735.    716.    789.    802.    815.    754.
2025      722.    668.    681.    713.    744.    793.    845.    824.    906.    912.    915.    831.
2026      755.    684.    684.    713.    745.    793.    845.    824.    906.    910.    915.    831.
2027      754.    684.    684.    715.    745.    793.    846.    823.    906.    909.    915.    832.
   2    4  UFV
2023                                                                                        3.      3.
2024        3.      3.      2.      2.      2.      2.      2.      2.      2.      3.      3.      3.
2025        3.      3.      2.      2.      2.      2.      2.      2.      2.      3.      3.      3.
2026        3.      3.      2.      2.      2.      2.      2.      2.      2.      3.      3.      3.
2027        3.      3.      2.      2.      2.      2.      2.      2.      2.      3.      3.      3.
   2    5  PCH MMGD
2023                                                                                      5.24    4.96
2024      5.34    4.67    4.77    4.57    4.38    5.62    6.10    5.43    5.53    5.91    5.24    4.96
2025      5.34    4.67    4.77    4.57    4.38    5.62    6.10    5.43    5.53    5.91    5.24    4.96
2026      5.34    4.67    4.77    4.57    4.38    5.62    6.10    5.43    5.53    5.91    5.24    4.96
2027      5.34    4.67    4.77    4.57    4.38    5.62    6.10    5.43    5.53    5.91    5.24    4.96
   2    6  PCT MMGD
2023                                                                                     35.46   35.46
2024     34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22
2025     34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22
2026     34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22
2027     34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22   34.22
   2    7  EOL MMGD
2023                                                                                      0.16    0.16
2024      0.15    0.14    0.14    0.12    0.14    0.16    0.17    0.18    0.18    0.16    0.16    0.16
2025      0.15    0.14    0.14    0.12    0.14    0.16    0.17    0.18    0.18    0.16    0.16    0.16
2026      0.15    0.14    0.14    0.12    0.14    0.16    0.17    0.18    0.18    0.16    0.16    0.16
2027      0.15    0.14    0.14    0.12    0.14    0.16    0.17    0.18    0.18    0.16    0.16    0.16
   2    8  UFV MMGD
2023                                                                                    1021.0  1038.3
2024     983.3   992.7   964.1   883.8   750.7   677.6   719.1   852.5   805.4   883.2   985.9  1002.7
2025     983.3   992.8   964.1   883.8   750.7   677.6   719.1   852.5   805.4   883.2   985.9  1002.8
2026     983.3   992.7   964.1   883.8   750.7   677.6   719.1   852.5   805.4   883.2   985.9  1002.8
2027     983.3   992.7   964.1   883.8   750.7   677.6   719.1   852.5   805.4   883.2   985.9  1002.8
   3    1  PCH
2023                                                                                       87.     99.
2024       75.     80.     83.     84.     78.     74.     73.     77.     68.     64.     94.    107.
2025       81.     87.     90.     92.     85.     81.     80.     85.     75.     71.     94.    107.
2026       81.     87.     90.     92.     85.     81.     80.     85.     75.     71.     94.    107.
2027       81.     87.     90.     92.     85.     81.     80.     85.     75.     70.     94.    107.
   3    2  PCT
2023                                                                                      453.    452.
2024      474.    417.    398.    349.    346.    344.    341.    379.    446.    472.    461.    460.
2025      482.    419.    400.    350.    346.    344.    341.    380.    446.    472.    461.    460.
2026      482.    419.    400.    350.    346.    344.    341.    380.    446.    473.    461.    460.
2027      483.    419.    400.    350.    346.    344.    341.    379.    446.    473.    461.    460.
   3    3  EOL
2023                                                                                    10037.   9671.
2024     9075.   7802.   7984.   8815.  10768.  12649.  15321.  17435.  17202.  15391.  11983.  11368.
2025    10304.   8783.   9107.   9980.  12218.  14147.  16820.  18936.  18446.  16513.  12797.  11985.
2026    10846.   9126.   9222.  10116.  12281.  14165.  16869.  18991.  18514.  16593.  12834.  12020.
2027    10854.   9126.   9222.  10104.  12281.  14141.  16892.  18972.  18514.  16609.  12834.  12012.
   3    4  UFV
2023                                                                                     1404.   1452.
2024     1519.   1610.   1595.   1688.   1645.   1687.   1925.   2112.   2470.   2260.   2077.   2163.
2025     2136.   2205.   2111.   2241.   2124.   2136.   2113.   2276.   2596.   2365.   2240.   2331.
2026     2562.   2641.   2568.   2636.   2490.   2525.   2488.   2684.   3045.   2772.   2553.   2655.
2027     2584.   2679.   2605.   2670.   2513.   2557.   2497.   2721.   3072.   2791.   2575.   2690.
   3    5  PCH MMGD
2023                                                                                      0.07    0.08
2024      0.07    0.07    0.06    0.06    0.06    0.09    0.09    0.09    0.07    0.07    0.07    0.08
2025      0.07    0.07    0.06    0.06    0.06    0.09    0.09    0.09    0.07    0.07    0.07    0.08
2026      0.07    0.07    0.06    0.06    0.06    0.09    0.09    0.09    0.07    0.07    0.07    0.08
2027      0.07    0.07    0.06    0.06    0.06    0.09    0.09    0.09    0.07    0.07    0.07    0.08
   3    6  PCT MMGD
2023                                                                                      8.70    8.70
2024      7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65
2025      7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65
2026      7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65
2027      7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65    7.65
   3    7  EOL MMGD
2023                                                                                      8.20    7.03
2024      6.53    6.53    5.36    6.19    7.53    8.70    9.37   10.04   10.21    9.04    8.20    7.03
2025      6.53    6.53    5.36    6.19    7.53    8.70    9.37   10.04   10.21    9.04    8.20    7.03
2026      6.53    6.53    5.36    6.19    7.53    8.70    9.37   10.04   10.21    9.04    8.20    7.03
2027      6.53    6.53    5.36    6.19    7.53    8.70    9.37   10.04   10.21    9.04    8.20    7.03
   3    8  UFV MMGD
2023                                                                                     764.6   740.6
2024     691.9   706.1   713.7   661.1   622.9   597.6   622.4   694.3   738.2   736.1   729.7   707.5
2025     691.9   706.2   713.7   661.1   622.9   597.6   622.4   694.3   738.2   736.1   729.7   707.5
2026     691.9   706.2   713.7   661.1   622.9   597.6   622.4   694.3   738.2   736.2   729.7   707.5
2027     691.9   706.2   713.7   661.1   622.9   597.5   622.4   694.3   738.2   736.2   729.7   707.5
   4    1  PCH
2023                                                                                      126.    146.
2024      150.    164.    167.    152.    132.    117.    107.    100.     98.    107.    126.    146.
2025      150.    164.    167.    152.    132.    117.    107.    100.     98.    111.    131.    151.
2026      159.    174.    177.    162.    140.    124.    113.    106.    103.    113.    133.    154.
2027      159.    174.    177.    162.    140.    124.    113.    106.    103.    113.    133.    154.
   4    2  PCT
2023                                                                                      205.    180.
2024      180.    201.    199.    201.    213.    201.    203.    212.    210.    174.    205.    180.
2025      180.    201.    199.    201.    213.    201.    203.    212.    210.    174.    205.    180.
2026      180.    201.    199.    201.    213.    201.    203.    212.    210.    174.    205.    180.
2027      180.    201.    199.    201.    213.    201.    203.    212.    210.    174.    205.    180.
   4    3  EOL
2023                                                                                      285.    275.
2024      173.    143.     90.     91.     91.    130.    161.    254.    330.    316.    285.    275.
2025      173.    144.     90.     90.     91.    130.    161.    254.    330.    316.    285.    275.
2026      173.    143.     91.     90.     90.    131.    161.    254.    330.    316.    285.    275.
2027      172.    143.     91.     90.     90.    131.    161.    254.    330.    316.    285.    275.
   4    4  UFV
2023                                                                                        1.      1.
2024        1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.
2025        1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.
2026        1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.
2027        1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.      1.
   4    5  PCH MMGD
2023                                                                                      0.00    0.00
2024      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2025      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2026      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2027      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   4    6  PCT MMGD
2023                                                                                      2.29    2.29
2024      2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29
2025      2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29
2026      2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29
2027      2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29    2.29
   4    7  EOL MMGD
2023                                                                                      0.01    0.01
2024      0.01    0.01    0.01    0.00    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01
2025      0.01    0.01    0.01    0.00    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01
2026      0.01    0.01    0.01    0.00    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01
2027      0.01    0.01    0.01    0.00    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01
   4    8  UFV MMGD
2023                                                                                     258.3   243.7
2024     223.4   228.2   229.4   230.5   234.3   246.1   252.2   273.7   268.9   254.3   244.0   230.3
2025     223.4   228.2   229.4   230.5   234.3   246.1   252.2   273.7   268.9   254.3   244.0   230.3
2026     223.4   228.2   229.4   230.5   234.4   246.1   252.2   273.7   268.9   254.3   244.0   230.3
2027     223.4   228.2   229.4   230.5   234.4   246.1   252.2   273.7   268.9   254.3   244.0   230.3
 999
