 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 VMAXT    12 2024  96.200 '%'
 VMAXT     1 2025  96.800 '%'
 VMAXT     2 2025  98.500 '%'
 VMAXT     3 2025  99.400 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  96.600 '%'
 VMAXT    12 2025  96.200 '%'
 VMAXT     1 2026  96.800 '%'
 VMAXT     2 2026  98.500 '%'
 VMAXT     3 2026  99.400 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  96.600 '%'
 VMAXT    12 2026  96.200 '%'
 VMAXT     1 2027  96.800 '%'
 VMAXT     2 2027  98.500 '%'
 VMAXT     3 2027  99.400 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  96.600 '%'
 VMAXT    12 2027  96.200 '%'
 USINA    26                                MIRANDA     
 VAZMINT  11 2023  135.00
 VAZMINT   5 2024   42.00
 VAZMINT  11 2024  135.00
 VAZMINT   5 2025   42.00
 VAZMINT  11 2025  135.00
 VAZMINT   5 2026   42.00
 VAZMINT  11 2026  135.00
 VAZMINT   5 2027   42.00
 VAZMINT  11 2027  135.00
 USINA    27                                CAPIM BRANC1
 VAZMIN       72
 USINA    28                                CAPIM BRANC2
 VAZMIN       72
 USINA    29                                CORUMBA IV  
 VAZMINT  11 2023   13.70
 USINA    30                                CORUMBA I   
 VAZMIN      120
 USINA    31                                ITUMBIARA   
 VAZMIN       70
 VMAXT    11 2023  90.900 '%'
 VMAXT    12 2023  88.600 '%'
 VMAXT     1 2024  91.700 '%'
 VMAXT     2 2024  94.900 '%'
 VMAXT     3 2024  97.500 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  88.600 '%'
 VMAXT    12 2024  82.400 '%'
 VMAXT     1 2025  89.300 '%'
 VMAXT     2 2025  93.300 '%'
 VMAXT     3 2025  97.400 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  88.600 '%'
 VMAXT    12 2025  82.400 '%'
 VMAXT     1 2026  89.300 '%'
 VMAXT     2 2026  93.300 '%'
 VMAXT     3 2026  97.400 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  88.600 '%'
 VMAXT    12 2026  82.400 '%'
 VMAXT     1 2027  89.300 '%'
 VMAXT     2 2027  93.300 '%'
 VMAXT     3 2027  97.400 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  88.600 '%'
 VMAXT    12 2027  82.400 '%'
 USINA    32                                CACH.DOURADA
 VAZMIN       20
 USINA    33                                SAO SIMAO   
 VAZMIN      450
 VMAXT    11 2023  80.400 '%'
 VMAXT    12 2023  65.200 '%'
 VMAXT     2 2024  86.000 '%'
 VMAXT     3 2024  93.800 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  51.300 '%'
 VMAXT     1 2025  54.400 '%'
 VMAXT     2 2025  76.200 '%'
 VMAXT     3 2025  91.200 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  51.300 '%'
 VMAXT     1 2026  54.400 '%'
 VMAXT     2 2026  76.200 '%'
 VMAXT     3 2026  91.200 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  51.300 '%'
 VMAXT     1 2027  54.400 '%'
 VMAXT     2 2027  76.200 '%'
 VMAXT     3 2027  91.200 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  51.300 '%'
 USINA    47                                A.A. LAYDNER
 VAZMINT  11 2023  147.00
 VMAXT    11 2023  97.900 '%'
 VMAXT    12 2023  86.600 '%'
 VMAXT     1 2024  86.100 '%'
 VMAXT     2 2024  89.300 '%'
 VMAXT     3 2024 100.000 '%'
 VMAXT     4 2024  97.800 '%'
 VMAXT     5 2024  86.100 '%'
 VMAXT     6 2024  90.500 '%'
 VMAXT     7 2024  97.300 '%'
 VMAXT     8 2024  98.200 '%'
 VMAXT     9 2024  88.900 '%'
 VMAXT    10 2024 100.000 '%'
 VMAXT    11 2024  97.900 '%'
 VMAXT    12 2024  86.600 '%'
 VMAXT     1 2025  86.100 '%'
 VMAXT     2 2025  89.300 '%'
 VMAXT     3 2025 100.000 '%'
 VMAXT     4 2025  97.800 '%'
 VMAXT     5 2025  86.100 '%'
 VMAXT     6 2025  90.500 '%'
 VMAXT     7 2025  97.300 '%'
 VMAXT     8 2025  98.200 '%'
 VMAXT     9 2025  88.900 '%'
 VMAXT    10 2025 100.000 '%'
 VMAXT    11 2025  97.900 '%'
 VMAXT    12 2025  86.600 '%'
 VMAXT     1 2026  86.100 '%'
 VMAXT     2 2026  89.300 '%'
 VMAXT     3 2026 100.000 '%'
 VMAXT     4 2026  97.800 '%'
 VMAXT     5 2026  86.100 '%'
 VMAXT     6 2026  90.500 '%'
 VMAXT     7 2026  97.300 '%'
 VMAXT     8 2026  98.200 '%'
 VMAXT     9 2026  88.900 '%'
 VMAXT    10 2026 100.000 '%'
 VMAXT    11 2026  97.900 '%'
 VMAXT    12 2026  86.600 '%'
 VMAXT     1 2027  86.100 '%'
 VMAXT     2 2027  89.300 '%'
 VMAXT     3 2027 100.000 '%'
 VMAXT     4 2027  97.800 '%'
 VMAXT     5 2027  86.100 '%'
 VMAXT     6 2027  90.500 '%'
 VMAXT     7 2027  97.300 '%'
 VMAXT     8 2027  98.200 '%'
 VMAXT     9 2027  88.900 '%'
 VMAXT    10 2027 100.000 '%'
 VMAXT    11 2027  97.900 '%'
 VMAXT    12 2027  86.600 '%'
 USINA    49                                CHAVANTES   
 VAZMINT  11 2023   85.00
 VMAXT    11 2023  97.900 '%'
 VMAXT    12 2023  86.600 '%'
 VMAXT     1 2024  83.600 '%'
 VMAXT     2 2024  98.400 '%'
 VMAXT     3 2024 100.000 '%'
 VMAXT     4 2024  97.700 '%'
 VMAXT     5 2024  87.500 '%'
 VMAXT     6 2024  90.500 '%'
 VMAXT     7 2024  97.300 '%'
 VMAXT     8 2024  98.200 '%'
 VMAXT     9 2024  88.900 '%'
 VMAXT    10 2024 100.000 '%'
 VMAXT    11 2024  97.900 '%'
 VMAXT    12 2024  86.600 '%'
 VMAXT     1 2025  83.600 '%'
 VMAXT     2 2025  98.400 '%'
 VMAXT     3 2025 100.000 '%'
 VMAXT     4 2025  97.700 '%'
 VMAXT     5 2025  87.500 '%'
 VMAXT     6 2025  90.500 '%'
 VMAXT     7 2025  97.300 '%'
 VMAXT     8 2025  98.200 '%'
 VMAXT     9 2025  88.900 '%'
 VMAXT    10 2025 100.000 '%'
 VMAXT    11 2025  97.900 '%'
 VMAXT    12 2025  86.600 '%'
 VMAXT     1 2026  83.600 '%'
 VMAXT     2 2026  98.400 '%'
 VMAXT     3 2026 100.000 '%'
 VMAXT     4 2026  97.700 '%'
 VMAXT     5 2026  87.500 '%'
 VMAXT     6 2026  90.500 '%'
 VMAXT     7 2026  97.300 '%'
 VMAXT     8 2026  98.200 '%'
 VMAXT     9 2026  88.900 '%'
 VMAXT    10 2026 100.000 '%'
 VMAXT    11 2026  97.900 '%'
 VMAXT    12 2026  86.600 '%'
 VMAXT     1 2027  83.600 '%'
 VMAXT     2 2027  98.400 '%'
 VMAXT     3 2027 100.000 '%'
 VMAXT     4 2027  97.700 '%'
 VMAXT     5 2027  87.500 '%'
 VMAXT     6 2027  90.500 '%'
 VMAXT     7 2027  97.300 '%'
