NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  52 FCMAX    99.95 11 2023 12 2023  
  52 TEIFT     0.00 11 2023 12 2023  
  52 FCMAX   100.00  1 2024 12 2024  
  52 FCMAX     0.00  1 2025          
 112 POTEF    30.97 11 2023          CURUMIM
 112 FCMAX    77.50 11 2023 12 2023  
 112 TEIFT     0.00 11 2023 12 2023  
 112 FCMAX    98.00  1 2024 12 2025  
 112 FCMAX     0.00  1 2026          
 106 POTEF    16.79 11 2023          ERB CANDEIAS
 106 FCMAX    71.47 11 2023 12 2023  
 106 TEIFT     0.00 11 2023 12 2023  
 106 GTMIN 00003.50 11 2023 12 2023
 106 FCMAX    76.83  1 2024          
 106 IPTER     0.00  1 2024  8 2024  
 106 GTMIN 00004.00  1 2024  8 2024
 106 IPTER   100.00  9 2024  9 2024  
 106 IPTER     0.00 10 2024 12 2024  
 106 GTMIN 00004.00 10 2024 12 2027
  42 POTEF   326.60 11 2023          FORTALEZA
  42 FCMAX   100.00 11 2023          
  42 TEIFT     0.00 11 2023 12 2023  
  42 GTMIN 00223.00  1 2024 12 2027
  53 POTEF   148.80 11 2023          GLOBAL I
  53 FCMAX    96.77 11 2023 12 2023  
  53 TEIFT     0.00 11 2023 12 2023  
  53 FCMAX   100.00  1 2024 12 2024  
  53 IPTER     0.00  1 2024  3 2024  
  53 IPTER    20.00  4 2024  4 2024  
  53 IPTER     0.00  5 2024  7 2024  
  53 IPTER    15.05  8 2024  8 2024  
  53 IPTER     0.00  9 2024 12 2024  
  53 FCMAX     0.00  1 2025          
  55 POTEF   148.80 11 2023          GLOBAL II
  55 FCMAX    96.77 11 2023 12 2023  
  55 TEIFT     0.00 11 2023 12 2023  
  55 FCMAX   100.00  1 2024 12 2024  
  55 IPTER     0.00  1 2024  1 2024  
  55 IPTER    16.09  2 2024  2 2024  
  55 IPTER     0.00  3 2024  5 2024  
  55 IPTER    15.56  6 2024  6 2024  
  55 IPTER     0.00  7 2024  9 2024  
  55 IPTER    15.05 10 2024 10 2024  
  55 IPTER     0.00 11 2024 12 2024  
  55 FCMAX     0.00  1 2025          
 166 POTEF   150.00 11 2023          GUARANI
 166 FCMAX    82.00 11 2023 12 2023  
 166 TEIFT     0.00 11 2023 12 2023  
 166 FCMAX     0.00  1 2024          
  57 POTEF   168.00 11 2023          MARACANAU I
  57 FCMAX    97.00 11 2023 12 2023  
  57 TEIFT     0.00 11 2023 12 2023  
  57 FCMAX    97.62  1 2024 12 2024  
  57 FCMAX     0.00  1 2025          
 167 POTEF   720.28 11 2023          P. PECEM I
 167 FCMAX    99.96 11 2023          
 167 TEIFT     0.00 11 2023 12 2023  
 167 IPTER     0.00  1 2024  4 2024  
 167 IPTER    19.35  5 2024  5 2024  
 167 IPTER     0.00  6 2024  9 2024  
 167 IPTER    19.35 10 2024 10 2024  
 167 IPTER     0.00 11 2024 12 2024  
 163 POTEF   365.00 11 2023          P. PECEM II
 163 FCMAX   100.00 11 2023          
 163 TEIFT     0.00 11 2023 12 2023  
 224 POTEF  1593.20 11 2023          P. SERGIPE I
 224 FCMAX    99.99 11 2023  2 2024  
 224 TEIFT     0.00 11 2023  2 2024  
 224 IPTER     0.00  1 2024  2 2024  
 224 FCMAX   100.00  3 2024          
 160 POTEF    94.08 11 2023 12 2023  PAU FERRO I
 160 FCMAX    99.91 11 2023 12 2023  
 160 TEIFT     0.00 11 2023 12 2023  
  98 POTEF   200.79 11 2023          PERNAMBU_III
  98 TEIFT     0.00 11 2023 12 2023  
  98 FCMAX    99.98  1 2024          
 144 POTEF   136.20 11 2023          PETROLINA
 144 FCMAX    96.92 11 2023          
 144 TEIFT     0.00 11 2023 12 2023  
 259 POTEF  1571.89  7 2026          PORTOCEM I
 151 POTEF    53.12 11 2023          POTIGUAR
 151 FCMAX    99.77 11 2023 12 2023  
 151 TEIFT     0.00 11 2023 12 2023  
 151 FCMAX     0.00  1 2024          
 161 POTEF    66.40 11 2023          POTIGUAR III
 161 FCMAX    82.83 11 2023 12 2023  
 161 TEIFT     0.00 11 2023 12 2023  
 161 FCMAX     0.00  1 2024          
 223 POTEF    55.99 11 2023          PROSPERI III
 223 TEIFT     0.00 11 2023 12 2023  
 223 IPTER     3.23  1 2024  1 2024  
 223 IPTER     0.00  2 2024  6 2024  
 223 IPTER     3.23  7 2024  7 2024  
 223 IPTER     0.00  8 2024 10 2024  
 223 IPTER    13.33 11 2024 11 2024  
 223 IPTER     6.45 12 2024 12 2024  
 241 POTEF    37.44 11 2023          PROSPERID II
 241 FCMAX    99.89 11 2023 12 2023  
 241 TEIFT     0.00 11 2023 12 2023  
 241 FCMAX   100.00  1 2024          
 241 IPTER     0.00  1 2024  1 2024  
 241 IPTER     3.45  2 2024  2 2024  
 241 IPTER     0.00  3 2024  6 2024  
 241 IPTER     3.23  7 2024  7 2024  
 241 IPTER     0.00  8 2024 12 2024  
 147 POTEF    28.02 11 2023          PROSPERIDADE
 147 FCMAX    99.92 11 2023 12 2023  
 147 TEIFT     0.00 11 2023 12 2023  
 147 FCMAX   100.00  1 2024          
 147 IPTER     9.68  1 2024  1 2024  
 147 IPTER     0.00  2 2024  4 2024  
 147 IPTER     6.45  5 2024  5 2024  
 147 IPTER     0.00  6 2024  9 2024  
 147 IPTER    25.81 10 2024 10 2024  
 147 IPTER    32.22 11 2024 11 2024  
 147 IPTER    17.20 12 2024 12 2024  
 170 POTEF   381.26 11 2023          SUAPE II
 170 TEIFT     0.00 11 2023 12 2023  
 170 IPTER     7.40  1 2024  1 2024  
 170 IPTER     6.09  2 2024  2 2024  
 170 IPTER     0.76  3 2024  3 2024  
 170 IPTER     0.39  4 2024  4 2024  
 170 IPTER     3.04  5 2024  5 2024  
 170 IPTER     0.39  6 2024  6 2024  
 170 IPTER     0.00  7 2024  7 2024  
 170 IPTER     0.38  8 2024  8 2024  
 170 IPTER     2.16  9 2024  9 2024  
 170 IPTER     0.76 10 2024 10 2024  
 170 IPTER     1.76 11 2024 11 2024  
 170 IPTER     6.83 12 2024 12 2024  
 221 POTEF    30.00 11 2023          SYKUE I
 221 FCMAX     0.00 11 2023          
  43 POTEF   185.90 11 2023          TERMOBAHIA
  43 FCMAX    85.48 11 2023 12 2023  
  43 TEIFT     0.00 11 2023 12 2023  
  43 FCMAX    85.50  1 2024          
  43 IPTER    64.52  1 2024  1 2024  
  43 IPTER     0.00  2 2024 12 2024  
 152 POTEF    49.73 11 2023          TERMOCABO
 152 FCMAX    99.95 11 2023 12 2023  
 152 TEIFT     0.00 11 2023 12 2023  
 152 FCMAX    99.99  1 2024 12 2024  
 152 FCMAX     0.00  1 2025          
  58 POTEF   223.00 11 2023          TERMOCEARA
  58 FCMAX    97.44 11 2023 12 2023  
  58 TEIFT     0.00 11 2023 12 2023  
  58 FCMAX    98.65  1 2024          
 159 POTEF   143.04 11 2023 12 2023  TERMOMANAUS
 159 FCMAX    99.97 11 2023 12 2023  
 159 TEIFT     0.00 11 2023 12 2023  
  67 POTEF   170.85 11 2023          TERMONE
  67 FCMAX    94.82 11 2023 12 2023  
  67 TEIFT     0.00 11 2023 12 2023  
  67 FCMAX    94.99  1 2024 12 2024  
  67 FCMAX     0.00  1 2025          
  69 POTEF   170.85 11 2023          TERMOPB
  69 FCMAX    94.82 11 2023 12 2023  
  69 TEIFT     0.00 11 2023 12 2023  
  69 FCMAX    95.00  1 2024 12 2024  
  69 FCMAX     0.00  1 2025          
  96 POTEF   550.00 11 2023          TERMOPE
  96 FCMAX    90.89 11 2023 11 2023  
  96 TEIFT     0.00 11 2023 12 2023  
  96 GTMIN   244.09 11 2023 11 2023
  96 FCMAX    85.71 12 2023 12 2023  
  96 GTMIN   337.45 12 2023 12 2023
  96 FCMAX    96.87  1 2024  4 2024  
  96 GTMIN 00348.80  1 2024  4 2024
  96 FCMAX    46.87  5 2024  5 2024  
  96 GTMIN   168.80  5 2024  5 2024
  96 FCMAX     0.00  6 2024  6 2026  
  96 FCMAX   100.00  7 2026          
  96 IPTER     6.08  7 2026          
  96 TEIFT     1.37  7 2026          
  83 POTEF   367.90 11 2023          VALE DO ACU
  83 FCMAX    84.26 11 2023 12 2023  
  83 TEIFT     0.00 11 2023 12 2023  
  83 FCMAX    29.90  1 2024          
 201 POTEF   166.00 11 2023          APARECIDA
 201 FCMAX    94.18 11 2023 11 2023  
 201 TEIFT     0.00 11 2023 12 2023  
 201 GTMIN 00075.00 11 2023  6 2025
 201 FCMAX    95.18 12 2023 12 2023  
 201 FCMAX   100.00  1 2024          
 201 IPTER    17.55  1 2024  1 2024  
 201 IPTER     0.00  2 2024 12 2024  
 201 GTMIN 00075.00  7 2025  7 2025
 201 GTMIN 00075.00  8 2025  8 2025
 201 GTMIN 00075.00  9 2025  9 2025
 201 GTMIN 00075.00 10 2025 11 2025
